"","Location","Circulation per Capita","Circulation per Borrower","Circulation per Staff FTE","Circulation per Visit","Circulation per Hour Open","Total Operating Expenditures per Circulation","% of Non-English Circulation to Total Circulation","% of Childrens Circulation to Total Circulation","Circulation of Childrens Materials per Child Borrower","Circulation of Electronic Materials","Physical Item Circulation","Circulation of Childrens Materials","Circulation of Non English Materials","Successful Retrieval of Electronic Information","Total Electronic Content Use","Total Annual Circulation","Total Content Use"
"38","BUTTE COUNTY LIBRARY",0,0,0,0,0,0,0,0,10.10457,68678,254870,115960,2590,256,68934,NA,323804
"39","CALABASAS CITY LIBRARY",0,0,0,0,0,0,0,0,1.18345,71383,38573,25050,121,34371,105754,NA,144327
"40","CALAVERAS COUNTY LIBRARY",0,0,0,0,0,0,0,0,4.3106,12922,74352,25536,41,4225,17147,NA,91499
"41","CAMARENA MEMORIAL PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.64443,6733,15062,4665,1420,375,7108,NA,22170
"42","CARLSBAD CITY LIBRARY",0,0,0,0,0,0,0,0,-161849,213672,316257,161849,2101,25407,239079,NA,555336
"43","CERRITOS PUBLIC LIBRARY",0,0,0,0,0,0,0,0,12.91535,21490,52961,32650,14524,204566,226056,NA,279017
"44","CHULA VISTA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,4.84668,30480,NA,117028,10152,2450,32930,NA,32930
"45","CITY OF COMMERCE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.32779,20479,12981,6311,2151,69,20548,NA,33529
"46","COALINGA-HURON LIBRARY DISTRICT",0,0,0,0,0,0,0,0,1.17312,3202,19357,1484,168,1058,4260,NA,23617
"47","COLUSA COUNTY FREE LIBRARY",0,0,0,0,0,0,0,0,14.70725,2090,38729,21502,775,1172,3262,NA,41991
"48","CONTRA COSTA COUNTY LIBRARY",0,0,0,0,0,0,0,0,45.68798,1463991,4468315,1712431,37325,1632952,3096943,NA,7565258
"49","CORONA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.30253,29997,152698,117569,4807,69252,99249,NA,251947
"50","CORONADO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.47944,35207,38887,12439,116,89711,124918,NA,163805
"51","COVINA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,1.12783,5880,10663,6670,180,NA,5880,NA,16543
"52","CROWELL PUBLIC LIBRARY",0,0,0,0,0,0,0,0,4.65334,12778,46543,28511,3387,39124,51902,NA,98445
