"","Location","Total Operating Income","Operating Income per Capita","Operating Income from Local Government per Capita","Operating Income from State Government per Capita","Operating Income from Federal Government per Capita","% of Operating Income from Local Government","% of Operating Income from State Government","% of Operating Income from Federal Government","% of Operating Income from Other Sources"
"88","FULLERTON PUBLIC LIBRARY",3620119,25.96352,25.0763,0.34991,0,0.9658282,0.0134769,0,0.0206949
"89","MISSION VIEJO LIBRARY",3577452,38.00988,35.82138,0.06235,0.16665,0.9424227,0.0016403,0.0043844,0.0515526
"90","CORONADO PUBLIC LIBRARY",3572492,159.793,153.34361,6.44939,0,0.9596391,0.0403609,0,0
"91","MERCED COUNTY LIBRARY",3449058,12.10893,11.17251,0.23146,0.60779,0.9226676,0.0191145,0.0501937,0.0080242
"92","RANCHO MIRAGE PUBLIC LIBRARY",3380093,179.80174,157.40694,0,0,0.8754472,0,0,0.1245528
"93","ALHAMBRA CIVIC CENTER LIBRARY",3260145,37.79528,37.67935,0,0,0.9969327,0,0,0.0030673
"94","WATSONVILLE PUBLIC LIBRARY",3253320,63.33606,61.60067,1.13343,0,0.9726003,0.0178956,0,0.0095041
"95","MORENO VALLEY PUBLIC LIBRARY",3187045,15.218,14.8295,0.04858,0.19654,0.9744707,0.003192,0.0129148,0.0094225
"96","PLACENTIA LIBRARY DISTRICT",3091564,60.41397,55.11956,0.79098,0,0.9123644,0.0130927,0,0.0745429
"97","BELVEDERE-TIBURON LIBRARY",2959561,256.86174,250.61283,0,0,0.9756721,0,0,0.0243279
"98","LOS GATOS LIBRARY",2944010,95.47315,94.17596,0.3243,0,0.9864131,0.0033967,0,0.0101902
"99","CITY OF COMMERCE PUBLIC LIBRARY",2767001,216.30715,212.05464,4.2525,0,0.9803404,0.0196596,0,0
"100","MONROVIA PUBLIC LIBRARY",2558200,66.48302,60.71714,4.74017,0.12994,0.913273,0.071299,0.0019545,0.0134735
"101","GLENDORA LIBRARY & CULTURAL CENTER",2532698,49.14043,45.01292,0.59445,0,0.9160058,0.012097,0,0.0718972
"102","BENICIA PUBLIC LIBRARY",2521482,93.00586,86.91284,0.9439,0,0.9344877,0.0101488,0,0.0553635
"103","SAN BERNARDINO PUBLIC LIBRARY",2475919,11.44717,9.80486,1.08933,0.13688,0.8565313,0.0951614,0.0119572,0.0363501
"104","GOLETA VALLEY LIBRARY",2445964,23.72281,20.90854,1.93975,0,0.8813687,0.0817674,0,0.036864
"105","DOWNEY CITY LIBRARY",2445068,21.94362,18.73355,0.16992,2.88703,0.8537129,0.0077433,0.1315657,0.0069781
"106","SHASTA PUBLIC LIBRARIES",2425392,13.64136,12.88031,0.39931,0,0.9442107,0.0292724,0,0.026517
"107","MURRIETA PUBLIC LIBRARY",2386917,20.7248,19.87994,0.13892,0.11287,0.959234,0.0067032,0.0054464,0.0286164
