"","Location","Total Expenditures","Expenditures per Capita","Total Operating Expenditures per Visit","Total Operating Expenditures per Open Hour","Total Operating Expenditures per Circulation","% Operating Expenditures on Staff","% of Operating Expenditures on Collection","% of Collection Expenditures on Print Materials","% of Collection Expenditures on Electronic Materials","% of Collection Expenditures on Serial Subscriptions","% of Collection Expenditures on Other Materials"
"135","AZUSA CITY LIBRARY",1396763,28.16793,0,4060.35756,0,0.8951504,0.0526217,0.6190476,0.3673469,0.0136054,0
"136","CROWELL PUBLIC LIBRARY",1332531,102.81082,164.51,7614.46286,0,0.7675626,0.0755855,0.5086477,0.3460187,0.1056195,0.0397141
"137","COLUSA COUNTY FREE LIBRARY",1205701,54.16918,96.01307,221.41393,0,0.5913442,0.0887412,0.7425734,0.0650696,0.0111457,0.1812113
"138","MONO COUNTY FREE LIBRARY",1196804,90.0191,27.79839,146.55939,0,0.7953934,0.0474138,0.8256234,0.1486827,0.0256939,0
"139","LAKE COUNTY LIBRARY",1169676,18.29334,0,247.07985,0,0.5402308,0.1047931,0.6269682,0.3226378,0.0240508,0.0263433
"140","PASO ROBLES CITY LIBRARY",1167203,37.56325,21.25627,408.68452,0,0.8117166,0.0647137,0.4625202,0.3865544,0.0119416,0.1389838
"141","DOWNEY CITY LIBRARY",1094005,9.81831,94.07559,2856.40992,0,0.8562072,0.1437928,0.4207933,0.5792067,0,0
"142","ST. HELENA PUBLIC LIBRARY",1071237,176.48056,107.30612,1471.4794,0,0.7425957,0.0968366,0.3532173,0.5024823,0.0151347,0.1291657
"143","MOORPARK CITY LIBRARY",1070520,29.75237,81.15533,802.48876,0,0.3920142,0.0608517,0.4322184,0.4731437,0,0.094638
"144","COALINGA-HURON LIBRARY DISTRICT",1056545,43.07594,181.97831,326.95475,0,0.7314725,0.048253,0.6455449,0.2635406,0.0909145,0
"145","BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT",967770,31.5327,0,746.73611,0,0.6544065,0.053057,0.6286054,0.2477847,0.0394376,0.0841724
"146","IMPERIAL COUNTY LIBRARY",966879,18.26471,40286.625,3357.21875,0,0.6175654,0.0374039,0.270289,0.1997788,0,0.5299323
"147","BANNING LIBRARY DISTRICT",958147,18.5213,108.07188,365.6595,0,0.7890828,0.0774278,0.4374501,0.3541034,0.0359198,0.1725268
"148","HARRISON MEMORIAL LIBRARY",955856,237.59781,0,0,0,0.7038236,0.1802416,0.390121,0.5615521,0.0034478,0.0448791
"149","PACIFIC GROVE PUBLIC LIBRARY",911188,57.42244,259.78888,7080.27778,0,0.7524949,0.1090723,0.557998,0.2985972,0.0538821,0.0895226
"150","CALAVERAS COUNTY LIBRARY",889184,17.79721,25.5634,133.71955,0,0.6120859,0.0574524,0.3074117,0.344546,0.0135725,0.3344698
"151","PORTERVILLE PUBLIC LIBRARY",882545,14.81501,0,0,0,0.8913902,0.0292642,0.2418787,0.7503388,0.0077826,0
"152","LINCOLN PUBLIC LIBRARY",867037,15.75121,14.33173,1012.48446,0,0.5175516,0.1561157,0.4542311,0.4059135,0.0503499,0.0895055
"153","COVINA PUBLIC LIBRARY",835899,17.1175,656.63708,8892.54255,0,0.7174348,0.0533952,0.6944637,0.1344297,0.0568862,0.1142204
"154","POMONA PUBLIC LIBRARY",793606,5.24459,385.05871,720.15064,0,0.4236674,0.0576382,0.4632504,0.4930698,0.0436798,0
"155","TUOLUMNE COUNTY LIBRARY",786120,14.70345,52.29991,397.43175,0,0.7472511,0.0762517,0.5406303,0.1894133,0.2032264,0.0667301
"156","SAN ANSELMO PUBLIC LIBRARY",750467,59.14312,489.54142,6948.76852,0,0.6946062,0.1290556,0.3959856,0.5162516,0.0671127,0.0206501
"157","AMADOR COUNTY LIBRARY",745794,19.95329,758.69176,654.20526,0,0.7233955,0.0621646,0.4960959,0.3805056,0.0155515,0.1078469
"158","VICTORVILLE CITY LIBRARY",741756,5.83279,2540.26027,15453.25,0,0.6338823,0.1194139,0.4987355,0.4567716,0.0444929,0
"159","SAUSALITO PUBLIC LIBRARY",683724,92.96044,273.05272,7950.27907,0,0.7800384,0.1019973,0.5722275,0.252072,0.0870401,0.0886604
"160","YUBA COUNTY LIBRARY",649411,8.17826,0,626.84459,0,0.5170547,0.0799109,0.7166008,0.2484054,0,0.0349937
"161","CAMARENA MEMORIAL PUBLIC LIBRARY",637142,15.29443,0,0,0,0.6739428,0.0411712,0.686463,0.2358687,0.0776684,0
"162","LARKSPUR PUBLIC LIBRARY",628546,50.91758,660.52021,6467.59375,0,0.6861049,0.1033937,0.571048,0.2476167,0.0311546,0.1501807
"163","INYO COUNTY FREE LIBRARY",602002,32.43021,814.61705,1605.33867,0,0.8482165,0.0502806,0.5918597,0.2039711,0.2041693,0
"164","SISKIYOU COUNTY FREE LIBRARY",600687,13.55035,0,192.83692,0,0.5852532,0.067789,0.4172888,0.3834479,0,0.1992633
"165","EL CENTRO PUBLIC LIBRARY",600398,13.34307,118.35167,604.63041,0,0.72355,0.1309082,0.5089253,0.2089138,0.0680051,0.2141558
"166","PLUMAS COUNTY LIBRARY",595172,27.93579,56.85089,101.54786,0,0.8232393,0.0303795,0.3876998,0.419114,0.1119407,0.0812455
"167","TEHAMA COUNTY LIBRARY",553667,8.47182,0,226.9127,0,0.9567737,0.0432263,0.4045878,0.5849664,0.0104458,0
"168","SIERRA MADRE PUBLIC LIBRARY",529961,44.65321,46.65425,1114.23888,0,0.7468935,0.1374816,0.4113223,0.2852884,0.1051199,0.1982694
"169","ORLAND FREE LIBRARY",439750,27.50672,34.13943,268.14024,0,0.8906697,0.0179147,1,0,0,0
"170","IMPERIAL PUBLIC LIBRARY",401877,19.80763,0,295.49779,0,0.4941711,0.0332739,0.5234819,0.4204308,0.0560873,0
