"","Location","# of Children's Programs (calculated)","7.14a # of Children's Programs - Live, In-person","7.14b # of Children's Programs - Live, Virtual","7.27 # of Young Adult Programs (calculated)","7.27a # of Young Adult Programs - Live, In-person","7.27b # of Young Adult Programs - Live, Virtual","7.29 # of Adult Programs (calculated)","7.29a # of Adult Programs - Live, In-person","7.29b # of Adult Programs - Live, Virtual","7.33 Of the above programs, how many were offsite?","Total # of Programs","7.35 # recordings of program content","7.36 # views of recorded program content","7.37 # on-demand views of recorded live programs"
"73","BURLINGAME PUBLIC LIBRARY",122,NA,NA,45,0,45,190,0,190,0,357,137,8967,3721
"74","CARLSBAD CITY LIBRARY",122,NA,NA,29,0,29,172,0,172,0,322,NA,NA,NA
"75","CORONA PUBLIC LIBRARY",121,NA,NA,159,10,149,90,34,56,88,571,437,12806,4050
"76","UPLAND PUBLIC LIBRARY",120,NA,NA,23,14,9,14,7,7,0,157,98,6948,NA
"77","LINCOLN PUBLIC LIBRARY",116,NA,NA,0,0,0,102,0,102,0,218,123,1303,275
"78","MOUNTAIN VIEW PUBLIC LIBRARY",116,0,116,48,0,48,167,0,167,0,331,12,1160,449
"79","BURBANK PUBLIC LIBRARY",113,NA,NA,46,NA,NA,194,NA,NA,1,353,54,NA,NA
"80","LIVERMORE PUBLIC LIBRARY",113,NA,NA,12,NA,NA,182,NA,NA,0,307,140,2800,11046
"81","TULARE COUNTY FREE LIBRARY",106,NA,NA,21,0,21,188,11,177,37,315,357,8755,2451
"82","PLACENTIA LIBRARY DISTRICT",104,NA,NA,26,0,26,127,0,127,0,259,23,4751,785
"83","LAKE COUNTY LIBRARY",103,NA,NA,1,0,1,117,4,113,87,221,48,486,0
"84","PACIFIC GROVE PUBLIC LIBRARY",102,NA,NA,0,0,0,52,52,0,90,164,105,1868,NA
"85","EL CENTRO PUBLIC LIBRARY",100,NA,NA,6,6,0,6,6,0,9,112,16,483,3512
"86","MENLO PARK PUBLIC LIBRARY",96,NA,NA,40,0,40,195,0,195,0,331,78,294,0
"87","LARKSPUR PUBLIC LIBRARY",87,NA,NA,11,0,11,51,0,51,0,150,125,529,113
"88","ROSEVILLE PUBLIC LIBRARY",86,NA,NA,0,0,0,118,0,118,1,204,0,0,0
"89","VICTORVILLE CITY LIBRARY",86,NA,NA,12,0,12,5,0,5,0,104,12,6021,0
"90","BENICIA PUBLIC LIBRARY",85,NA,NA,58,2,56,168,0,168,0,311,448,39576,13
"91","STANISLAUS COUNTY FREE LIBRARY",85,NA,NA,0,0,0,105,1,104,0,190,90,760,760
"92","CALAVERAS COUNTY LIBRARY",82,NA,NA,2,2,0,19,3,16,98,103,2,34,0
"93","MURRIETA PUBLIC LIBRARY",82,NA,NA,14,NA,NA,39,NA,NA,0,135,172,36340,NA
"94","TORRANCE PUBLIC LIBRARY",78,NA,NA,10,0,10,32,0,32,3,120,NA,NA,NA
"95","SUTTER COUNTY LIBRARY",75,NA,NA,486,0,486,399,364,35,399,960,0,0,0
"96","PLUMAS COUNTY LIBRARY",74,NA,NA,2,2,0,6,3,3,15,82,25,NA,3
"97","MONTEREY COUNTY FREE LIBRARIES",72,NA,NA,27,12,15,30,10,20,11,131,402,0,8200
"98","BEAUMONT LIBRARY DISTRICT",67,NA,NA,22,15,7,28,1,27,28,124,10,234,NA
"99","OXNARD PUBLIC LIBRARY",67,NA,NA,28,0,28,16,0,16,0,222,141,1168,950
"100","EL DORADO COUNTY LIBRARY",64,NA,NA,8,NA,NA,40,NA,NA,0,112,NA,NA,NA
"101","HAYWARD PUBLIC LIBRARY",64,NA,NA,0,NA,NA,101,NA,NA,0,178,191,0,0
"102","GLENDALE LIBRARY, ARTS & CULTURE",60,NA,NA,3,0,3,157,0,157,42,223,415,5598,973
"103","MARIN COUNTY FREE LIBRARY",60,NA,NA,16,NA,NA,121,NA,NA,NA,197,113,25360,NA
"104","BUTTE COUNTY LIBRARY",59,52,7,32,NA,NA,19,NA,NA,5,110,181,4212,NA
"105","SAN RAFAEL PUBLIC LIBRARY",58,NA,NA,5,0,5,193,0,193,0,256,43,520,2098
"106","MONO COUNTY FREE LIBRARY",57,5,52,83,83,NA,37,31,6,0,177,62,356,2002
"107","WHITTIER PUBLIC LIBRARY",56,NA,NA,0,0,0,117,0,117,31,189,376,117254,NA
"108","AMADOR COUNTY LIBRARY",55,NA,NA,0,0,0,10,0,10,NA,65,0,0,0
"109","COLTON PUBLIC LIBRARY",55,NA,NA,20,0,20,10,8,2,0,96,46,45635,6935
"110","CITY OF COMMERCE PUBLIC LIBRARY",53,NA,NA,40,4,36,69,0,69,21,162,172,72717,128
"111","LASSEN LIBRARY DISTRICT",52,NA,NA,0,0,0,62,62,0,2,114,50,NA,NA
"112","SIMI VALLEY PUBLIC LIBRARY",52,NA,NA,32,0,32,96,NA,NA,12,180,85,10372,843
"113","HUNTINGTON BEACH PUBLIC LIBRARY",51,NA,NA,18,16,2,82,37,45,0,151,200,14057,319
"114","LONG BEACH PUBLIC LIBRARY",50,NA,NA,10,0,10,44,1,43,13,117,169,348,37206
"115","IMPERIAL PUBLIC LIBRARY",49,NA,NA,1,1,0,0,0,0,4,50,36,214,196
"116","RANCHO CUCAMONGA PUBLIC LIBRARY",49,NA,NA,18,0,18,87,0,87,0,154,8,1621,1178
"117","CHULA VISTA PUBLIC LIBRARY",48,NA,NA,8,0,0,27,0,0,0,92,92,13157,0
"118","CROWELL PUBLIC LIBRARY",48,NA,NA,12,NA,NA,69,NA,NA,1,171,NA,NA,NA
"119","BERKELEY PUBLIC LIBRARY",47,NA,NA,17,0,17,230,0,230,5,294,64,27544,0
"120","PLEASANTON PUBLIC LIBRARY",47,NA,NA,4,0,4,40,12,28,0,96,43,11000,0
"121","SAN LUIS OBISPO CITY-COUNTY LIBRARY",47,2,45,15,0,15,73,5,68,3,135,282,6918,212
"122","SANTA MONICA PUBLIC LIBRARY",47,NA,NA,2,0,2,77,0,77,2,126,NA,NA,NA
"123","MOORPARK CITY LIBRARY",46,NA,NA,10,0,5,78,0,39,2,134,53,921,NA
"124","ORANGE PUBLIC LIBRARY",46,NA,NA,0,0,0,44,2,42,0,90,62,5439,0
"125","SANTA MARIA PUBLIC LIBRARY",44,NA,NA,10,0,10,33,0,33,7,87,57,812,0
"126","ONTARIO CITY LIBRARY",42,NA,NA,0,0,0,0,0,0,16,47,97,8363,0
"127","SAN BERNARDINO PUBLIC LIBRARY",38,NA,NA,0,0,0,0,0,0,0,40,10,1319,0
"128","BANNING LIBRARY DISTRICT",35,NA,NA,11,NA,NA,4,NA,NA,34,135,26,203,187
"129","OAKLAND PUBLIC LIBRARY",34,NA,NA,38,8,30,34,18,16,8,108,382,30104,4961
"130","BUENA PARK LIBRARY DISTRICT",31,10,21,5,0,5,39,3,36,11,80,280,17678,0
"131","ST. HELENA PUBLIC LIBRARY",30,NA,NA,0,0,0,4,0,4,20,34,5,720,0
"132","SOUTH PASADENA PUBLIC LIBRARY",29,NA,NA,18,0,18,12,0,12,0,59,57,2094,1323
